time_s,V_P1_Genome,V_P1_packaged_genome,V_P1_virion,V_P1_released
292.0,1.0,0.0,0.0,0.0
296.0,1.0,0.0,0.0,0.0
300.0,1.0,0.0,0.0,0.0
304.0,1.0,0.0,0.0,0.0
308.0,1.0,0.0,0.0,0.0
312.0,1.0,0.0,0.0,0.0
316.0,1.0,0.0,0.0,0.0
320.0,1.0,0.0,0.0,0.0
324.0,1.0,0.0,0.0,0.0
328.0,1.0,0.0,0.0,0.0
332.0,1.0,0.0,0.0,0.0
336.0,1.0,0.0,0.0,0.0
340.0,1.0,0.0,0.0,0.0
344.0,1.0,0.0,0.0,0.0
348.0,1.0,0.0,0.0,0.0
352.0,1.0,0.0,0.0,0.0
356.0,1.0,0.0,0.0,0.0
360.0,1.0,0.0,0.0,0.0
364.0,1.0,0.0,0.0,0.0
368.0,1.0,0.0,0.0,0.0
372.0,1.0,0.0,0.0,0.0
376.0,1.0,0.0,0.0,0.0
380.0,1.0,0.0,0.0,0.0
384.0,1.0,0.0,0.0,0.0
388.0,1.0,0.0,0.0,0.0
392.0,1.0,0.0,0.0,0.0
396.0,1.0,0.0,0.0,0.0
400.0,1.0,0.0,0.0,0.0
404.0,1.0,0.0,0.0,0.0
408.0,1.0,0.0,0.0,0.0
412.0,1.0,0.0,0.0,0.0
416.0,1.0,0.0,0.0,0.0
420.0,1.0,0.0,0.0,0.0
424.0,1.0,0.0,0.0,0.0
428.0,1.0,0.0,0.0,0.0
432.0,1.0,0.0,0.0,0.0
436.0,1.0,0.0,0.0,0.0
440.0,1.0,0.0,0.0,0.0
444.0,1.0,0.0,0.0,0.0
448.0,1.0,0.0,0.0,0.0
452.0,1.0,0.0,0.0,0.0
456.0,1.0,0.0,0.0,0.0
460.0,1.0,0.0,0.0,0.0
464.0,1.0,0.0,0.0,0.0
468.0,1.0,0.0,0.0,0.0
472.0,1.0,0.0,0.0,0.0
476.0,1.0,0.0,0.0,0.0
480.0,1.0,0.0,0.0,0.0
484.0,1.0,0.0,0.0,0.0
488.0,1.0,0.0,0.0,0.0
492.0,1.0,0.0,0.0,0.0
496.0,1.0,0.0,0.0,0.0
500.0,1.0,0.0,0.0,0.0
504.0,1.0,0.0,0.0,0.0
508.0,1.0,0.0,0.0,0.0
512.0,1.0,0.0,0.0,0.0
516.0,1.0,0.0,0.0,0.0
520.0,1.0,0.0,0.0,0.0
524.0,1.0,0.0,0.0,0.0
528.0,1.0,0.0,0.0,0.0
532.0,1.0,0.0,0.0,0.0
536.0,1.0,0.0,0.0,0.0
540.0,1.0,0.0,0.0,0.0
544.0,1.0,0.0,0.0,0.0
548.0,1.0,0.0,0.0,0.0
552.0,1.0,0.0,0.0,0.0
556.0,1.0,0.0,0.0,0.0
560.0,1.0,0.0,0.0,0.0
564.0,1.0,0.0,0.0,0.0
568.0,1.0,0.0,0.0,0.0
572.0,1.0,0.0,0.0,0.0
576.0,1.0,0.0,0.0,0.0
580.0,1.0,0.0,0.0,0.0
584.0,1.0,0.0,0.0,0.0
588.0,1.0,0.0,0.0,0.0
592.0,1.0,0.0,0.0,0.0
596.0,1.0,0.0,0.0,0.0
600.0,1.0,0.0,0.0,0.0
604.0,1.0,0.0,0.0,0.0
608.0,1.0,0.0,0.0,0.0
612.0,1.0,0.0,0.0,0.0
616.0,1.0,0.0,0.0,0.0
620.0,1.0,0.0,0.0,0.0
624.0,1.0,0.0,0.0,0.0
628.0,1.0,0.0,0.0,0.0
632.0,1.0,0.0,0.0,0.0
636.0,1.0,0.0,0.0,0.0
640.0,1.0,0.0,0.0,0.0
644.0,1.0,0.0,0.0,0.0
648.0,1.0,0.0,0.0,0.0
652.0,1.0,0.0,0.0,0.0
656.0,1.0,0.0,0.0,0.0
660.0,1.0,0.0,0.0,0.0
664.0,1.0,0.0,0.0,0.0
668.0,1.0,0.0,0.0,0.0
672.0,1.0,0.0,0.0,0.0
676.0,1.0,0.0,0.0,0.0
680.0,1.0,0.0,0.0,0.0
684.0,1.0,0.0,0.0,0.0
688.0,1.0,0.0,0.0,0.0
692.0,1.0,0.0,0.0,0.0
696.0,1.0,0.0,0.0,0.0
700.0,1.0,0.0,0.0,0.0
704.0,2.0,0.0,0.0,0.0
708.0,2.0,0.0,0.0,0.0
712.0,2.0,0.0,0.0,0.0
716.0,2.0,0.0,0.0,0.0
720.0,2.0,0.0,0.0,0.0
724.0,2.0,0.0,0.0,0.0
728.0,2.0,0.0,0.0,0.0
732.0,2.0,0.0,0.0,0.0
736.0,2.0,0.0,0.0,0.0
740.0,2.0,0.0,0.0,0.0
744.0,2.0,0.0,0.0,0.0
748.0,2.0,0.0,0.0,0.0
752.0,2.0,0.0,0.0,0.0
756.0,2.0,0.0,0.0,0.0
760.0,2.0,0.0,0.0,0.0
764.0,2.0,0.0,0.0,0.0
768.0,2.0,0.0,0.0,0.0
772.0,2.0,0.0,0.0,0.0
776.0,2.0,0.0,0.0,0.0
780.0,2.0,0.0,0.0,0.0
784.0,2.0,0.0,0.0,0.0
788.0,2.0,0.0,0.0,0.0
792.0,2.0,0.0,0.0,0.0
796.0,2.0,0.0,0.0,0.0
800.0,3.0,0.0,0.0,0.0
804.0,3.0,0.0,0.0,0.0
808.0,3.0,0.0,0.0,0.0
812.0,3.0,0.0,0.0,0.0
816.0,3.0,0.0,0.0,0.0
820.0,3.0,0.0,0.0,0.0
824.0,3.0,0.0,0.0,0.0
828.0,3.0,0.0,0.0,0.0
832.0,3.0,0.0,0.0,0.0
836.0,3.0,0.0,0.0,0.0
840.0,3.0,0.0,0.0,0.0
844.0,3.0,0.0,0.0,0.0
848.0,3.0,0.0,0.0,0.0
852.0,3.0,0.0,0.0,0.0
856.0,3.0,0.0,0.0,0.0
860.0,3.0,0.0,0.0,0.0
864.0,3.0,0.0,0.0,0.0
868.0,3.0,0.0,0.0,0.0
872.0,3.0,0.0,0.0,0.0
876.0,3.0,0.0,0.0,0.0
880.0,4.0,0.0,0.0,0.0
884.0,4.0,0.0,0.0,0.0
888.0,6.0,0.0,0.0,0.0
892.0,6.0,0.0,0.0,0.0
896.0,6.0,0.0,0.0,0.0
900.0,6.0,0.0,0.0,0.0
904.0,6.0,0.0,0.0,0.0
908.0,6.0,0.0,0.0,0.0
912.0,6.0,0.0,0.0,0.0
916.0,6.0,0.0,0.0,0.0
920.0,6.0,0.0,0.0,0.0
924.0,7.0,0.0,0.0,0.0
928.0,7.0,0.0,0.0,0.0
932.0,7.0,0.0,0.0,0.0
936.0,7.0,0.0,0.0,0.0
940.0,7.0,0.0,0.0,0.0
944.0,7.0,0.0,0.0,0.0
948.0,7.0,0.0,0.0,0.0
952.0,7.0,0.0,0.0,0.0
956.0,7.0,0.0,0.0,0.0
960.0,7.0,0.0,0.0,0.0
964.0,7.0,0.0,0.0,0.0
968.0,7.0,0.0,0.0,0.0
972.0,7.0,0.0,0.0,0.0
976.0,7.0,0.0,0.0,0.0
980.0,8.0,0.0,0.0,0.0
984.0,8.0,0.0,0.0,0.0
988.0,8.0,0.0,0.0,0.0
992.0,8.0,0.0,0.0,0.0
996.0,8.0,0.0,0.0,0.0
1000.0,8.0,0.0,0.0,0.0
1004.0,8.0,0.0,0.0,0.0
1008.0,9.0,0.0,0.0,0.0
1012.0,9.0,0.0,0.0,0.0
1016.0,10.0,0.0,0.0,0.0
1020.0,11.0,0.0,0.0,0.0
1024.0,11.0,0.0,0.0,0.0
1028.0,11.0,0.0,0.0,0.0
1032.0,11.0,0.0,0.0,0.0
1036.0,12.0,0.0,0.0,0.0
1040.0,13.0,0.0,0.0,0.0
1044.0,13.0,0.0,0.0,0.0
1048.0,14.0,0.0,0.0,0.0
1052.0,14.0,0.0,0.0,0.0
1056.0,15.0,0.0,0.0,0.0
1060.0,15.0,0.0,0.0,0.0
1064.0,15.0,0.0,0.0,0.0
1068.0,15.0,0.0,0.0,0.0
1072.0,15.0,0.0,0.0,0.0
1076.0,16.0,0.0,0.0,0.0
1080.0,17.0,0.0,0.0,0.0
1084.0,20.0,0.0,0.0,0.0
1088.0,20.0,0.0,0.0,0.0
1092.0,20.0,0.0,0.0,0.0
1096.0,21.0,0.0,0.0,0.0
1100.0,24.0,0.0,0.0,0.0
1104.0,24.0,0.0,0.0,0.0
1108.0,25.0,0.0,0.0,0.0
1112.0,26.0,0.0,0.0,0.0
1116.0,26.0,0.0,0.0,0.0
1120.0,30.0,0.0,0.0,0.0
1124.0,32.0,0.0,0.0,0.0
1128.0,34.0,0.0,0.0,0.0
1132.0,35.0,0.0,0.0,0.0
1136.0,36.0,0.0,0.0,0.0
1140.0,36.0,0.0,0.0,0.0
1144.0,36.0,0.0,0.0,0.0
1148.0,38.0,0.0,0.0,0.0
1152.0,38.0,0.0,0.0,0.0
1156.0,40.0,0.0,0.0,0.0
1160.0,41.0,0.0,0.0,0.0
1164.0,43.0,0.0,0.0,0.0
1168.0,44.0,0.0,0.0,0.0
1172.0,47.0,0.0,0.0,0.0
1176.0,49.0,0.0,0.0,0.0
1180.0,51.0,0.0,0.0,0.0
1184.0,55.0,0.0,0.0,0.0
1188.0,62.0,0.0,0.0,0.0
1192.0,69.0,0.0,0.0,0.0
1196.0,77.0,0.0,0.0,0.0
1200.0,84.0,0.0,0.0,0.0
1204.0,88.0,0.0,0.0,0.0
1208.0,99.0,0.0,0.0,0.0
1212.0,105.0,0.0,0.0,0.0
1216.0,119.0,0.0,0.0,0.0
1220.0,130.0,0.0,0.0,0.0
1224.0,139.0,0.0,0.0,0.0
1228.0,148.0,0.0,0.0,0.0
1232.0,156.0,0.0,0.0,0.0
1236.0,166.0,0.0,0.0,0.0
1240.0,175.0,2.0,2.0,0.0
1244.0,187.0,2.0,2.0,0.0
1248.0,200.0,2.0,2.0,0.0
1252.0,209.0,2.0,2.0,0.0
1256.0,230.0,2.0,2.0,0.0
1260.0,245.0,2.0,2.0,0.0
1264.0,263.0,2.0,2.0,0.0
1268.0,281.0,2.0,2.0,0.0
1272.0,306.0,2.0,2.0,0.0
1276.0,337.0,2.0,2.0,0.0
1280.0,370.0,2.0,2.0,0.0
1284.0,397.0,2.0,2.0,0.0
1288.0,427.0,2.0,2.0,0.0
1292.0,453.0,2.0,2.0,0.0
1296.0,490.0,3.0,3.0,0.0
1300.0,543.0,3.0,3.0,0.0
1304.0,579.0,0.0,0.0,6.0
1308.0,626.0,0.0,0.0,7.0
1312.0,666.0,0.0,0.0,8.0
1316.0,718.0,0.0,0.0,8.0
1320.0,759.0,0.0,0.0,9.0
1324.0,799.0,0.0,0.0,11.0
1328.0,834.0,0.0,0.0,11.0
1332.0,871.0,0.0,0.0,11.0
1336.0,904.0,0.0,0.0,11.0
1340.0,927.0,0.0,0.0,11.0
1344.0,942.0,0.0,0.0,11.0
1348.0,946.0,0.0,0.0,11.0
1352.0,947.0,0.0,0.0,11.0
1356.0,947.0,0.0,0.0,11.0
1360.0,947.0,0.0,0.0,11.0
1364.0,947.0,0.0,0.0,11.0
1368.0,947.0,0.0,0.0,11.0
1372.0,947.0,0.0,0.0,11.0
1376.0,947.0,0.0,0.0,11.0
1380.0,947.0,0.0,0.0,11.0
1384.0,947.0,0.0,0.0,11.0
1388.0,947.0,0.0,0.0,11.0
1392.0,947.0,0.0,0.0,11.0
1396.0,947.0,0.0,0.0,11.0
1400.0,947.0,0.0,0.0,11.0
1404.0,947.0,0.0,0.0,11.0
1408.0,947.0,0.0,0.0,11.0
1412.0,947.0,0.0,0.0,11.0
1416.0,947.0,0.0,0.0,11.0
1420.0,947.0,0.0,0.0,11.0
1424.0,947.0,0.0,0.0,11.0
1428.0,947.0,0.0,0.0,11.0
1432.0,947.0,0.0,0.0,11.0
1436.0,947.0,0.0,0.0,11.0
1440.0,947.0,0.0,0.0,11.0
1444.0,947.0,0.0,0.0,11.0
1448.0,947.0,0.0,0.0,11.0
1452.0,947.0,0.0,0.0,11.0
1456.0,947.0,0.0,0.0,11.0
1460.0,947.0,0.0,0.0,11.0
1464.0,947.0,0.0,0.0,11.0
1468.0,947.0,0.0,0.0,11.0
1472.0,947.0,0.0,0.0,11.0
1476.0,947.0,0.0,0.0,11.0
1480.0,947.0,0.0,0.0,11.0
